codigo_servico,descricao_servico,valor_servico
1,Troca de óleo do motor,45.00
2,Troca de filtro de óleo,25.00
3,Troca de filtro de ar,30.00
4,Troca de filtro de combustível,35.00
5,Troca de filtro de ar condicionado,40.00
6,Troca de correia dentada,150.00
7,Instalação kit correia dentada,220.00
8,Troca de correia do alternador,60.00
9,Troca de velas de ignição (unidade),25.00
10,Troca jogo de velas (4 cilindros),80.00
11,Troca jogo de velas (6 cilindros),120.00
12,Troca de cabos de vela (unidade),30.00
13,Instalação jogo cabos de vela,100.00
14,Substituição de bobina de ignição,80.00
15,Troca bomba de combustível,180.00
16,Limpeza/troca de bicos injetores (unid),60.00
17,Substituição de sensor de oxigênio,120.00
18,Instalação de sensor de temperatura,70.00
19,Substituição de sensor de rotação,100.00
20,Troca de radiador,180.00
21,Substituição de mangueiras radiador,90.00
22,Troca de bomba d'água,150.00
23,Substituição válvula termostática,80.00
24,Troca de pastilhas freio dianteiro,90.00
25,Troca de pastilhas freio traseiro,80.00
26,Substituição disco freio dianteiro (unid),70.00
27,Substituição disco freio traseiro (unid),65.00
28,Troca de amortecedor dianteiro (unid),120.00
29,Troca de amortecedor traseiro (unid),100.00
30,Substituição kit amortecedor completo,250.00
31,Troca de molas suspensão (unidade),90.00
32,Alinhamento de direção,80.00
33,Balanceamento de rodas (4 rodas),70.00
34,Cambagem e caster (por eixo),120.00
35,Troca de bateria,40.00
36,Reparo do alternador,150.00
37,Substituição motor de arranque,140.00
38,Troca de junta homocinética,130.00
39,Substituição de semi-eixo,160.00
40,Troca de rolamento roda dianteira,110.00
41,Troca de rolamento roda traseira,100.00
42,Montagem de pneu na roda (unidade),20.00
43,Reparo do sistema de embreagem,180.00
44,Troca kit de embreagem completo,250.00
45,Diagnóstico eletrônico,80.00
46,Recarga de gás ar condicionado,180.00
47,Limpeza do sistema ar condicionado,160.00
48,Higienização de ar condicionado,120.00
49,Substituição de compressor ar cond.,220.00
50,Troca do condensador ar condicionado,190.00
51,Sangria do sistema de freios,90.00
52,Regulagem de freio de estacionamento,60.00
53,Revisão sistema de freios,110.00
54,Limpeza e regulagem de freios traseiros,85.00
55,Revisão completa da suspensão,170.00
56,Substituição de pivô da suspensão,90.00
57,Troca terminal de direção,85.00
58,Reparo da caixa de direção,250.00
59,Substituição bomba direção hidráulica,180.00
60,Troca de óleo da direção hidráulica,70.00
61,Inspeção veicular pré-compra,250.00
62,Diagnóstico de ruídos,120.00
63,Diagnóstico de motor falhando,140.00
64,Diagnóstico sistema de injeção,130.00
65,Regulagem completa do motor,190.00
66,Limpeza do corpo de borboleta,100.00
67,Limpeza do sistema de arrefecimento,150.00
68,Revisão preventiva 10.000 km,280.00
69,Revisão preventiva 20.000 km,350.00
70,Revisão preventiva 30.000 km,420.00
71,Revisão preventiva 40.000 km,480.00
72,Revisão preventiva 50.000 km,550.00
73,Revisão preventiva 60.000 km,620.00
74,Revisão sistema elétrico completo,180.00
75,Substituição de chicote elétrico,230.00
76,Reparo em curto-circuito,160.00
77,Troca de fusíveis (unidade),15.00
78,Substituição de lâmpadas (unidade),20.00
79,Instalação de faróis auxiliares,140.00
80,Instalação de som automotivo básico,220.00
81,Polimento de faróis (par),90.00
82,Aplicação de insulfilm,250.00
83,Higienização interna simples,130.00
84,Higienização interna completa,280.00
85,Lavagem de motor,90.00
86,Cristalização de pintura,320.00
87,Polimento de pintura,180.00
88,Reparo em pequenos amassados,150.00
89,Martelinho de ouro (por peça),190.00
90,Funilaria simples (por peça),280.00
91,Pintura de peça automotiva,320.00
92,Reparo em arranhões superficiais,140.00
93,Impermeabilização de estofados,220.00
94,Hidratação de couro automotivo,180.00
95,Limpeza de estofados,160.00
96,Conserto banco motorista/passageiro,170.00
97,Remoção de manchas em estofados,130.00
98,Reparos em vidros elétricos,150.00
99,Calibragem de pneus com nitrogênio,40.00
100,Reparo em pneus furados,35.00